sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
C21/C3,87429,0.5538915443296137,-0.2634410491952033,0.1350469447558583,-1.0828405931065172e-06,-0.02982345207045638,0.04033306296470662,0.005257928457933724,-0.03481310095549634,0.0015602721238053767,0.0,0.0,0.0,0.0
C31/C17d,87435,-0.33363594904551286,0.13890694377508223,0.07600182589081224,1.9599966427060734e-07,0.04274565816242855,-0.16862228667117002,0.02283389990676818,0.019656787990910904,-0.000890144906656173,0.0,0.0,0.0,0.0
C31-C17d-C21-C31.9-C21ac-C17e-C31h-C31a,87822,-0.29785741156003354,-0.0031341439271165184,0.035992934520448515,-1.0188009655451954e-07,-0.0506812431054337,0.08001556641481546,-0.0001964513357858766,0.043484823066179186,0.015879440454182433,0.0,0.0,0.0,0.0
C31/C17d-C21-C31.9-C31h-C31i-C21ac,87823,-0.2965371508879138,0.0019769602383908607,0.038090608963111214,-7.799522160723936e-08,-0.028683839412801195,0.06942248125577295,0.09813787683896841,0.03813969783009201,-0.0028246570979393562,0.0,0.0,0.0,0.0
C21,87198,0.328068483535108,-0.5951449200989373,-0.12053926271065354,1.0322608580645392e-06,0.05495918185372739,-0.052690909549075605,-0.001993674013158348,0.031211880006653554,-0.0014058477657791317,0.0,0.0,0.0,0.0
C3,87209,0.6078818583597466,0.26568455867601337,0.1970793648252182,-0.2735458108179657,0.00033516500358827514,-0.005742065118528254,-0.0006901488781108049,0.007925437505678612,-0.00040486646604008135,0.0,0.0,0.0,0.0
C31/C17d-C21-C21ac-C31a-C17e-C31.9-C17f,87732,-0.28746123846417465,-0.02451687171237104,0.03191058906022235,-1.218135044420606e-07,-0.08130654174816004,0.041894283245607906,-0.07508761722825452,-0.009397387657702686,-0.018030722067721525,0.0,0.0,0.0,0.0
C17d/C31-C21-C21ac-C17e-C17f-C31.9,87733,-0.27544689981325604,-0.03033251567628834,0.02691096286163788,-1.2628639376432772e-07,-0.15190018233172553,-0.05717519394732582,-0.06700030108813743,-0.00651931493770364,0.012311117502674785,0.0,0.0,0.0,0.0
C31/C17d-C21-C21ac,87129,-0.28079086630475075,-0.03269607176835552,0.009533979305129494,-1.1004651504405393e-07,0.03879759543194052,-0.002788442954679779,0.053786610484518924,-0.07703352685015433,0.012684370570333772,0.0,0.0,0.0,0.0
C1/C3,87257,0.607881474767511,0.26568522080728607,0.1970790106832995,0.27354645372023617,0.0003345363038426397,-0.0057415571388305334,-0.0006900951712657038,0.007925125721490164,-0.0004048535460192762,0.0,0.0,0.0,0.0
C31-C17d-C31.1-C31a-C21-C17e-C21ac,87130,-0.2914750471359752,0.06869019872562564,0.04193020040866661,1.6762491823861086e-07,0.2255529127637698,0.054342149259907206,-0.07056729357052685,0.003093590566725837,0.002616947490051755,0.0,0.0,0.0,0.0
C31/C17d-C21-C21ac-C31.9,87388,-0.29886592962658226,-0.008028950245225338,0.03398816670393785,-8.131544295475063e-08,-0.009835759784813963,0.0006153333917334538,0.03521837732795923,-0.019993406684071752,-0.02093724821525666,0.0,0.0,0.0,0.0
C21ac,87517,0.2643471318462208,0.2163506404010992,-0.7030253252676898,-3.3660994332245385e-07,-0.010494031065904704,0.00613757884706643,0.0009908882690909527,-0.003680605602599432,-0.0001538080756285051,0.0,0.0,0.0,0.0
proportion_explained,0,0.5469615292141045,0.1815484806944002,0.1757734157577409,0.04256794839991928,0.02599769116361047,0.014832865219381092,0.00837003134885592,0.0035644784330836677,0.0003835597689041089,0.0,0.0,0.0,0.0
